Designator,Mid X,Mid Y,Rotation,Layer
J1,55.02,-95.85,90.0,top
SW1,-41.94,-72.955,0.0,top
SW10,35.6,-75.675,0.0,top
SW11,-36.4,-106.955,0.0,top
SW12,-18.4,-92.675,0.0,top
SW13,-0.4,-92.675,0.0,top
SW14,17.6,-92.675,0.0,top
SW15,35.6,-92.675,0.0,top
SW16,35.6,-109.675,0.0,top
SW17,53.6,-109.675,0.0,top
SW2,-23.94,-58.675,0.0,top
SW3,-0.4,-58.675,0.0,top
SW4,17.6,-58.675,0.0,top
SW5,35.6,-58.675,0.0,top
SW6,-39.17,-89.955,0.0,top
SW7,-21.17,-75.675,0.0,top
SW8,-0.4,-75.675,0.0,top
SW9,17.6,-75.675,0.0,top
SW_RESET1,-41.94,-57.54,0.0,top
U1,55.78,-72.52,270.0,top
