Designator,Mid X,Mid Y,Rotation,Layer
J1,55.78,-95.85,90.0,top
SW1,-46.64,-72.18,0.0,top
SW10,35.6,-75.2,0.0,top
SW11,-40.6,-110.28,0.0,top
SW12,-21.55,-94.25,0.0,top
SW13,-2.5,-94.25,0.0,top
SW14,16.55,-94.25,0.0,top
SW15,35.6,-94.25,0.0,top
SW16,35.6,-113.3,0.0,top
SW17,54.65,-113.3,0.0,bottom
SW2,-27.59,-56.15,0.0,top
SW3,-2.5,-56.15,0.0,top
SW4,16.55,-56.15,0.0,top
SW5,35.6,-56.15,0.0,top
SW6,-43.62,-91.23,0.0,top
SW7,-24.57,-75.2,0.0,top
SW8,-2.5,-75.2,0.0,top
SW9,16.55,-75.2,0.0,top
SW_Reset1,-46.64,-51.39,0.0,top
U1,55.78,-72.52,270.0,top
